date,ticker,open,high,low,close,volume
2024-07-12,AAPL,228.92,232.64,228.68,230.54,53046527
2024-07-15,AAPL,236.48,237.23,233.09,234.4,62623152
2024-07-16,AAPL,235.0,236.27,232.33,234.82,41184278
2024-07-17,AAPL,229.45,231.46,226.64,228.88,57345884
2024-07-18,AAPL,230.28,230.44,222.27,224.18,66034585
2024-07-19,AAPL,224.82,226.8,223.28,224.31,49151453
2024-07-22,AAPL,227.01,227.78,223.09,223.96,48201835
2024-07-23,AAPL,224.37,226.94,222.68,225.01,39960260
2024-07-24,AAPL,224.0,224.8,217.13,218.54,61777576
2024-07-25,AAPL,218.93,220.85,214.62,217.49,51391199
2024-07-26,AAPL,218.7,219.49,216.01,217.96,41599345
2024-07-29,AAPL,216.96,219.3,215.75,218.24,36284528
2024-07-30,AAPL,219.19,220.32,216.12,218.8,41493840
2024-07-31,AAPL,221.44,223.82,220.63,222.08,50036262
2024-08-01,AAPL,224.37,224.48,217.02,218.36,62477496
2024-08-02,AAPL,219.15,225.6,217.71,219.86,105568560
2024-08-05,AAPL,199.09,213.5,196.0,209.27,119517900
2024-08-06,AAPL,205.3,209.99,201.07,207.23,69579488
2024-08-07,AAPL,206.9,213.64,206.39,209.82,63516417
2024-08-08,AAPL,213.11,214.2,208.83,213.31,46801649
2024-08-09,AAPL,212.1,216.78,211.97,216.24,42201646
2024-08-12,AAPL,216.07,219.51,215.6,217.53,38028092
2024-08-13,AAPL,219.01,221.89,219.01,221.27,44155331
2024-08-14,AAPL,220.57,223.03,219.7,221.72,41948574
2024-08-15,AAPL,224.6,225.35,222.76,224.72,46398713
2024-08-16,AAPL,223.92,226.83,223.65,226.05,44338440
2024-08-19,AAPL,225.72,225.99,223.04,225.89,40687813
2024-08-20,AAPL,225.77,227.17,225.45,226.51,30299033
2024-08-21,AAPL,226.52,227.98,225.05,226.4,34765480
2024-08-22,AAPL,227.79,228.34,223.9,224.53,43673321
2024-08-23,AAPL,225.66,228.22,224.33,226.84,38647250
2024-08-26,AAPL,226.76,227.28,223.89,227.18,30599408
2024-08-27,AAPL,226.0,228.85,224.89,228.03,35934559
2024-08-28,AAPL,227.92,229.86,225.68,226.49,37737167
2024-08-29,AAPL,230.1,232.92,228.88,229.79,51906297
2024-08-30,AAPL,230.19,230.4,227.48,229.0,52988670
2024-09-03,AAPL,228.55,229.0,221.17,222.77,50175516
2024-09-04,AAPL,221.66,221.78,217.48,220.85,43840196
2024-09-05,AAPL,221.62,225.48,221.52,222.38,36615398
2024-09-06,AAPL,223.95,225.24,219.77,220.82,48423011
2024-09-09,AAPL,220.82,221.27,216.71,220.91,67179965
2024-09-10,AAPL,218.92,221.48,216.73,220.11,51591033
2024-09-11,AAPL,221.46,223.09,217.89,222.66,44587072
2024-09-12,AAPL,222.5,223.55,219.82,222.77,37497490
2024-09-13,AAPL,223.58,224.04,221.91,222.5,36766619
2024-09-16,AAPL,216.54,217.22,213.92,216.32,59357427
2024-09-17,AAPL,215.75,216.9,214.5,216.79,45519339
2024-09-18,AAPL,217.55,222.71,217.54,220.69,59894928
2024-09-19,AAPL,224.99,229.82,224.63,228.87,66781315
2024-09-20,AAPL,229.97,233.09,227.62,228.2,317079888
2024-09-23,AAPL,227.34,229.45,225.81,226.47,54090023
2024-09-24,AAPL,228.65,229.35,225.73,227.37,43556068
2024-09-25,AAPL,224.93,227.29,224.02,226.37,42308715
2024-09-26,AAPL,227.3,228.5,225.41,227.52,36635707
2024-09-27,AAPL,228.46,229.52,227.3,227.79,34003467
2024-09-30,AAPL,230.04,233.0,229.65,233.0,54793391
2024-10-01,AAPL,229.52,229.65,223.74,226.21,63235048
2024-10-02,AAPL,225.89,227.37,223.02,226.78,32880605
2024-10-03,AAPL,225.14,226.81,223.32,225.67,34044158
2024-10-04,AAPL,227.9,228.0,224.13,226.8,37345098
2024-10-07,AAPL,224.5,225.69,221.33,221.69,39505354
2024-10-08,AAPL,224.3,225.98,223.25,225.77,31855693
2024-10-09,AAPL,225.23,229.75,224.83,229.54,33591091
2024-10-10,AAPL,227.78,229.5,227.17,229.04,28183544
2024-10-11,AAPL,229.3,229.41,227.34,227.55,31759188
2024-10-14,AAPL,228.7,231.73,228.6,231.3,39882085
2024-10-15,AAPL,233.61,237.49,232.37,233.85,64748367
2024-10-16,AAPL,231.6,232.12,229.84,231.78,34082240
2024-10-17,AAPL,233.43,233.85,230.52,232.15,32974310
2024-10-18,AAPL,236.18,236.18,234.01,235.0,45831472
2024-10-21,AAPL,234.45,236.85,234.45,236.48,36254470
2024-10-22,AAPL,233.88,236.22,232.6,235.86,38846578
2024-10-23,AAPL,234.08,235.14,227.76,230.76,52286979
2024-10-24,AAPL,229.98,230.82,228.41,230.57,31109503
2024-10-25,AAPL,229.74,233.22,229.57,231.41,38602304
2024-10-28,AAPL,233.32,234.73,232.55,233.4,36087134
2024-10-29,AAPL,233.1,234.32,232.32,233.67,35413047
2024-10-30,AAPL,232.61,233.47,229.55,230.1,47060257
2024-10-31,AAPL,229.34,229.83,225.37,225.91,64370086
2024-11-01,AAPL,220.97,225.35,220.27,222.91,65276741
2024-11-04,AAPL,220.99,222.79,219.71,222.01,44344468
2024-11-05,AAPL,221.79,223.95,221.14,223.45,28111338
2024-11-06,AAPL,222.61,226.06,221.19,222.72,54561121
2024-11-07,AAPL,224.62,227.88,224.57,227.48,42137691
2024-11-08,AAPL,227.17,228.66,226.41,226.96,38328824
2024-11-11,AAPL,225.0,225.7,221.5,224.23,42005602
2024-11-12,AAPL,224.55,225.59,223.35,224.23,40398299
2024-11-13,AAPL,224.01,226.65,222.76,225.12,48566217
2024-11-14,AAPL,225.02,228.87,225.0,228.22,44923941
2024-11-15,AAPL,226.4,226.92,224.27,225.0,47923696
2024-11-18,AAPL,225.25,229.74,225.17,228.02,44686020
2024-11-19,AAPL,226.98,230.16,226.66,228.28,36211774
2024-11-20,AAPL,228.06,229.93,225.89,229.0,35075316
2024-11-21,AAPL,228.88,230.16,225.71,228.52,42108327
2024-11-22,AAPL,228.06,230.72,228.06,229.87,38168252
2024-11-25,AAPL,231.46,233.25,229.74,232.87,90002832
2024-11-26,AAPL,233.33,235.57,233.33,235.06,45986189
2024-11-27,AAPL,234.47,235.69,233.81,234.93,33498439
2024-11-29,AAPL,234.81,237.81,233.97,237.33,28481377
